size_lote,min,max,I,II,III,IV,V
3 a 8,3,8,B,B,B,B,C
9 a 15,9,15,B,B,B,B,D
16 a 25,16,25,B,B,B,C,E
26 a 40,26,40,B,B,B,D,F
41 a 65,41,65,B,B,C,E,G
66 a 110,66,110,B,B,D,F,H
111 a 180,111,180,B,C,E,G,I
181 a 300,181,300,B,D,F,H,J
301 a 500,301,500,C,E,G,I,K
501 a 800,501,800,D,F,H,J,L
801 a 1300,801,1300,E,G,I,K,L
1301 a 3200,1301,3200,F,H,J,L,M
3201 a 8000,3201,8000,G,I,L,M,N
8001 a 22000,8001,22000,H,J,M,N,O
22001 a 110000,22001,110000,I,K,N,O,P
110001 a 550000,110001,550000,I,K,O,P,Q
550001 a 90000000,550001,90000000,I,K,P,Q,Q
