c,0-10,0-05,0-01,np
0,44.89,58.8,89.78,0.05
1,10.95,13.35,18.68,0.35
2,6.51,7.7,10.28,0.82
3,4.89,5.67,7.35,1.36
4,4.06,4.65,5.89,1.97
5,3.55,4.02,5.01,2.61
6,3.21,3.6,4.43,3.28
7,2.96,3.3,4.01,3.98
8,2.77,3.07,3.7,4.69
9,2.62,2.89,3.46,5.42
10,2.5,2.75,3.26,6.16
11,2.4,2.63,3.1,6.92
12,2.31,2.53,2.96,7.69
13,2.24,2.44,2.85,8.46
14,2.17,2.37,2.75,9.24
15,2.12,2.3,2.66,10.03
16,2.07,2.24,2.58,10.83
17,2.03,2.19,2.52,11.63
18,1.99,2.14,2.45,12.44
19,1.95,2.1,2.4,12.25
20,1.92,2.06,2.35,14.07
21,1.89,2.03,2.3,14.89
22,1.86,2,2.26,15.71
23,1.84,1.97,2.22,16.54
24,1.82,1.94,2.19,17.38
25,1.79,1.92,2.15,18.21
