letter,size,0-065,0-100,0-150,0-250,0-400,0-650,1-000,1-500,2-500,4-000,6-500,10-000,15-000
B,3,,,,,,,,,,7.59,18.86,26.94,33.69
C,4,,,,,,,,1.53,5.5,10.92,16.45,22.86,29.45
D,5,,,,,,,1.33,3.32,5.83,9.8,14.39,20.19,26.56
E,7,,,,,0.422,1.06,2.14,3.55,5.35,8.4,12.2,17.35,23.29
F,10,,,,0.349,0.716,1.3,2.17,3.26,4.77,7.29,10.54,15.17,20.74
G,15,0.099,0.099,0.312,0.503,0.818,1.31,2.11,3.05,4.31,6.56,9.46,13.71,18.94
H,20,0.135,0.135,0.365,0.544,0.846,1.29,2.05,2.95,4.09,6.17,8.92,12.99,18.03
I,25,0.155,0.156,0.38,0.551,0.877,1.29,2,2.86,3.97,5.97,8.63,12.57,17.51
J,30,0.179,0.179,0.413,0.581,0.879,1.29,1.98,2.83,3.91,5.86,8.47,12.36,17.24
K,35,0.17,0.17,0.388,0.535,0.847,1.23,1.87,2.68,3.7,5.57,8.1,11.87,16.65
L,40,0.179,0.179,0.401,0.566,0.873,1.26,1.88,2.71,3.72,5.58,8.09,11.85,16.61
M,50,0.163,0.163,0.363,0.503,0.789,1.17,1.71,2.49,3.45,5.2,7.61,11.23,15.87
N,75,1.147,0.147,0.33,0.467,0.72,1.07,1.6,2.29,3.2,4.87,7.15,10.63,15.13
O,100,0.145,0.145,0.317,0.447,0.689,1.02,1.53,2.2,3.07,4.69,6.91,10.32,14.75
P,150,0.134,0.134,0.293,0.413,0.638,0.949,1.43,2.05,2.89,4.43,6.57,9.88,14.2
Q,200,0.135,0.135,0.294,0.414,0.637,0.945,1.42,2.04,2.87,4.4,6.53,9.81,14.12
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
