z,3,4,5,7,10,15,20,25,30,35,40,50,75,100,150,200
0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.1,47.24,46.67,46.44,46.26,46.16,46.1,46.08,46.06,46.06,46.05,46.04,46.04,46.03,46.03,46.02,46.02
0.3,41.63,40,39.37,38.87,38.6,38.44,38.37,38.33,38.31,38.29,38.28,38.27,38.25,38.24,38.22,38.22
0.35,40.2,38.33,37.62,37.06,36.75,36.57,36.49,36.45,36.43,36.41,36.4,36.38,36.36,36.35,36.33,36.33
0.45,37.26,35,34.16,33.49,33.23,32.92,32.84,32.79,32.76,32.74,32.73,32.72,32.68,32.67,32.66,32.65
0.5,35.75,33.33,32.44,31.74,31.37,31.15,31.06,31.01,30.98,30.96,30.95,30.93,30.9,30.89,30.87,30.87
0.55,34.2,31.67,30.74,30.01,29.64,29.41,29.32,29.27,29.24,29.22,29.21,29.19,29.16,29.15,29.41,29.13
0.6,35.61,30,29.05,28.32,27.94,27.72,27.63,27.58,27.55,27.53,27.52,27.5,27.47,27.46,27.45,27.44
0.7,29.27,26.67,25.74,25.03,24.67,24.46,24.38,24.33,24.31,24.29,24.28,24.26,24.24,24.33,24.21,24.21
0.75,27.5,25,24.11,23.44,23.1,22.9,22.83,22.79,22.76,22.75,22.73,22.72,22.7,22.69,22.68,22.67
0.8,25.64,23.33,25.51,21.88,21.57,21.4,21.33,21.29,21.27,21.26,21.25,21.23,21.22,21.21,21.2,21.2
0.85,23.67,21.67,20.93,20.37,20.1,19.94,19.89,19.86,19.84,19.82,19.82,19.8,19.79,19.78,19.78,19.77
0.9,21.55,20,19.38,18.9,18.67,18.54,18.5,18.47,18.46,18.45,18.44,18.43,18.42,18.42,18.41,18.41
0.95,19.25,18.33,17.86,17.48,17.29,17.2,17.17,17.15,17.14,17.13,17.13,17.12,17.12,17.11,17.11,17.11
1,16.67,16.62,16.36,16.1,15.97,15.91,15.89,15.88,15.88,15.87,15.87,15.87,15.87,15.87,15.87,15.87
1.05,13.66,15,14.91,14.77,14.71,14.68,14.67,14.67,14.67,14.67,14.68,14.68,14.68,14.68,14.68,14.68
1.1,9.84,13.33,13.48,13.49,13.5,13.51,13.52,13.52,13.53,13.54,13.54,13.54,13.55,13.55,13.56,13.56
1.15,0.29,11.67,12.1,12.27,12.34,12.39,12.42,12.44,12.45,12.46,12.46,12.47,12.48,12.49,12.49,12.3
1.2,0,10,10.76,11.1,11.24,11.34,11.38,11.41,11.42,11.43,11.44,11.46,11.47,11.48,11.49,11.49
